Central_face,Forehead,Forehead_left,Forehead_right,Lower_lip,Nose,Peripheral_face
1.481696894,1.599286422,1.682977150,2.136938613,1.276544543,1.096675187,1.125330845
1.347251726,1.412882256,1.169671745,1.550808738,0.765792880,1.183549128,1.452042476
1.532508908,1.653863749,1.454794744,2.023089899,1.748325790,1.697498309,1.639028860
1.219391833,1.705800114,1.598648120,1.821930270,1.616440279,1.045809169,1.375739981
1.358801220,1.551122243,1.441471841,1.762029003,1.636818050,1.030350047,1.203237546
1.424574276,1.463869714,1.375741602,1.495113495,1.304944798,1.580737228,1.557624072
0.933203855,1.529300908,1.663423300,1.672211156,0.078519738,1.527336428,1.066537661
0.589084899,1.249126174,1.260873612,1.274010614,0.388732023,1.331358040,1.012829128
0.650098469,1.235714795,1.155925564,0.972771648,0.728004693,1.285153338,0.926600716
0.500871892,1.113283590,1.073577188,0.940419323,-0.197321380,0.913050369,0.535499655
0.434877190,0.985460525,0.693018842,0.832143046,-0.503455408,0.612888014,0.613515630
0.488068867,0.856046032,0.750522817,0.571081350,0.532120978,1.115546441,0.725160372
0.315281650,0.731705015,0.532943216,0.134187216,1.000606159,0.007748245,1.000316285
-0.339098997,0.578379046,0.391554144,0.378360588,0.308229898,0.395616090,0.346582483
-0.455752903,0.190250940,-0.202656510,0.023221617,0.288722875,-0.033709541,-0.117149252
-0.486083847,0.169521317,-0.038383034,-0.157911005,0.095350838,-0.286600791,-0.123561277
-0.883139390,-0.010769659,-0.293795531,-0.926704530,-0.190650102,-0.429725363,-0.864842947
-1.133049663,-0.213085986,-0.528365566,-0.530548156,-0.958309808,-0.266621438,-0.811679312
-1.106471919,-0.093124897,-0.560671307,-0.435721768,-0.661491030,-0.963367281,-0.851008520
-0.645920763,0.027377983,-0.293070115,-0.907970749,-0.114507223,-0.184455251,-0.457769116
-0.304407101,0.252291738,0.087504507,-0.222033626,0.563870646,0.150807800,-0.093583065
0.272308352,0.433554256,0.368190766,-0.547040097,0.756940728,0.315326695,-0.066020689
0.570779022,0.928262663,0.659151040,0.558972107,0.926997457,0.487181838,0.732019098
1.170255754,1.126599306,1.075685625,1.092125257,1.463804305,1.287304531,0.851476115
1.536311611,1.339333682,1.466547188,0.670321823,1.878034083,1.347887405,1.257519754
1.395591887,1.324437094,1.285460139,0.980740585,1.108425280,1.463809047,1.255287403
1.254238832,1.466846763,1.446559845,1.277783436,1.105234810,1.689761416,1.385090178
1.579737668,1.437148721,1.602735082,0.949812876,1.416151277,1.015920371,1.367123960
1.587779438,1.491791949,1.333923710,1.184325138,1.111661485,1.360691519,1.245847780
1.132677899,1.348134173,1.337989404,0.921366512,1.361701159,1.031782452,1.045324004
1.049272287,1.070263344,1.380181186,0.548569811,1.159029543,1.371008684,1.301760186
0.695198588,0.964688400,0.882865332,0.860966790,0.952662171,1.034827972,0.608976951
0.811419731,0.794209966,1.096907206,0.563972165,1.204957390,0.911560929,1.039891574
0.595762270,0.879707976,0.930707851,0.509249733,0.498968962,0.879937620,0.619871280
0.580487979,0.449131807,0.739673787,-0.013212836,1.044219212,0.120764381,0.555027751
0.240397125,0.371264279,0.594186566,0.290954431,0.380821477,0.326240096,0.667966748
-0.370298164,-0.072848654,0.165338911,-0.615122273,-1.033810648,0.419043709,-0.634333702
-0.356016599,-0.271233206,-0.102477759,-0.556463631,-0.813438759,-0.245528906,-0.782139046
-0.842468234,-0.515478372,-0.365566168,-0.835234282,-1.485570830,-0.260798793,-0.949394556
-0.672354464,-0.440931103,-0.366805042,-0.879830956,-0.433038537,-0.195910327,-0.773989625
-0.944815382,-0.670384649,-0.683933727,-0.858954444,-0.010445636,-0.744454187,-0.913181811
-1.582265636,-1.324909141,-1.388363684,-1.343082626,-1.501002794,-1.610760451,-1.462635137
-1.648694193,-1.411729981,-1.396257669,-1.693208216,-1.428675304,-1.612389501,-1.740709576
-1.564702077,-1.323654023,-1.453407113,-1.431725048,-1.003112140,-1.059876953,-1.576772884
-1.336895296,-1.084967069,-1.393515291,-1.119200588,-0.601746298,-1.240541096,-1.350090334
-0.869627353,-0.836872638,-0.948083400,-1.101987429,-0.380686781,-0.972298669,-1.056906366
-0.784255527,-0.690508428,-0.682092405,-0.753748342,-0.401632282,-0.427023301,-0.625546817
0.132128300,-0.166433897,-0.243138196,0.544978339,0.184423357,-0.133843795,-0.296159113
0.378837619,0.286353730,0.129482887,0.479379784,0.662439762,0.593086980,0.371164420
0.996119552,0.544051086,0.319281480,0.824221286,0.925099350,0.477952264,0.832393773
1.199185232,0.800842999,0.889564830,0.883294310,1.052967106,0.736035520,1.082451264
1.240965275,0.762688112,0.693481836,1.207780632,1.299102780,1.051794813,1.252139778
1.370737611,1.073107049,0.817235413,1.535284646,1.340462236,0.749794557,1.334000710
1.208135811,0.826327768,0.643029903,1.331160121,0.676515389,0.813095434,1.003778662
0.837498932,0.471789288,0.291704820,1.354803830,0.140744996,1.127643298,1.206209420
1.000547813,0.631439474,0.503115437,0.570788589,-0.416029463,0.597575283,0.948377463
0.764257755,0.772043623,0.566320407,1.453541534,-0.674988010,0.917532020,0.325165807
0.366673907,0.672391297,0.691294633,1.145776825,-0.873131837,0.503735782,0.535548521
0.269540078,0.268745784,0.140662274,0.938895051,-1.223390006,0.595176293,0.342628869
0.383532084,0.196286843,-0.165221632,0.724728482,-1.217837662,0.194069639,0.317321124
-0.040389814,0.040672867,-0.046260915,0.439445881,-1.323229992,0.033793479,-0.198851966
0.014142640,-0.034684098,-0.184734639,-0.105595385,-0.232921472,-0.290533001,0.397652217
0.011380111,-0.232914321,-0.300492045,0.140590079,0.424472874,-0.102188917,-0.176811013
-0.408310541,-0.379397449,-0.531942481,0.344262218,0.751583126,-0.487837852,-0.078352504
-0.627512462,-0.756136445,-1.078029840,-0.673677719,0.539499911,-0.738439892,-0.365594974
-1.032307295,-0.911673162,-1.209687187,-0.737555099,0.275357826,-0.998190063,-0.763765485
-1.074116866,-1.018017634,-1.621417655,-0.534627699,0.285352902,-1.303200362,-0.667864156
-1.280453529,-1.221871746,-1.616425378,-1.032039048,0.878218082,-1.424833279,-0.452928388
-1.485852419,-1.611811566,-1.824693824,-1.702532792,-0.631998892,-1.191383549,-1.349148460
-1.776438125,-1.566733612,-1.758205444,-1.643998942,-1.259914443,-1.518328103,-1.647424848
-1.186455043,-1.392531049,-1.612491291,-1.068219010,-0.599866568,-1.641365925,-1.393879050
-1.235987466,-1.132932114,-1.318881482,-0.988612284,-1.573988433,-0.972097788,-1.333989732
-0.810687833,-0.688416087,-0.680976853,-0.634611828,-1.250823487,-0.246327151,-1.323691759
-0.449666240,-0.366974642,-0.077218971,-0.512030337,-1.444617944,-0.117765150,-0.817708583
0.279503556,-0.005659887,0.297824539,-0.011968815,-0.456617047,0.392190230,-0.166276721
0.726138027,0.472890844,0.674238100,0.320510124,-0.217930438,0.624476853,0.527376798
1.034906478,0.875206798,0.873924698,1.007558315,0.078886702,1.302392834,0.962751107
1.111160786,1.186139873,1.397766466,1.181963622,0.325085978,1.333780488,0.684088935
1.326301698,0.773570626,0.760540367,0.729513199,1.544209650,1.081988265,1.158148978
1.250960867,1.097342027,1.455487402,0.705276794,1.629085060,1.117012927,1.114688163
1.331023138,1.052191454,0.987273290,1.051932697,1.392037283,1.004149724,1.398682429
1.011287941,0.919226410,1.003189748,0.959502549,1.014665181,0.567053444,1.170543010
0.960390761,0.938460829,0.814149885,1.081227253,-0.032726614,0.967104570,1.184997313
0.719261338,0.776646638,1.301556691,0.641183541,-0.411121398,0.646066412,1.151314259
0.574462180,0.822755849,0.768120513,0.906375607,0.377581248,0.666009046,1.013250597
0.752685141,0.507544035,0.498118675,0.625203530,0.364904314,0.555482435,1.057115027
0.422826651,0.493427826,0.416972606,0.474685221,0.216472753,0.288093924,0.585494411
0.395003014,0.132749628,0.061893336,0.216308951,0.113657930,0.195657450,0.536687402
0.236044007,0.220576578,0.418153300,0.166064166,1.017357576,-0.116422102,0.603377507
-0.191951275,0.032835415,0.049828993,0.041265582,0.222098166,0.266984333,0.231971149
-0.231649811,-0.174106349,-0.272911033,0.030860806,-0.221720754,-0.421079919,-0.252907367
-0.503076337,-0.548631467,-0.370496753,-0.768769192,-0.541253918,-0.746181683,-0.322590156
-0.735711355,-0.607597628,-0.596054195,-0.608104950,-0.935026355,-0.376280951,-0.261271155
-0.905585397,-1.120180410,-0.847587656,-1.057502583,-0.948027392,-0.635984267,-0.394089143
-0.959473164,-1.159919768,-0.994679418,-1.354820255,-1.223188129,-0.928900100,-0.637910770
-1.166018037,-1.142501937,-0.824274501,-1.332779173,-2.155342132,-0.861909787,-0.879212024
-1.342413308,-1.525135415,-1.144190369,-1.565226561,-1.934985229,-1.268164243,-1.130555326
-1.296697604,-1.680984751,-1.589126675,-1.444571337,-1.710192335,-1.130551858,-1.259640690
-1.117710847,-1.151461992,-1.032368559,-1.145089040,-2.097762480,-0.888100846,-1.107011821
-0.739575056,-0.815450980,-0.236949524,-0.977617767,-1.616095810,-0.700471517,-0.622662264
-0.092655000,-0.505813021,-0.376452239,-0.679258279,-0.628877621,-0.397448179,-0.390223771
0.420493033,0.035904623,0.413451111,-0.097024989,0.348122206,0.387250771,0.570016689
0.666324863,0.580981079,0.834034807,0.684887089,0.091532575,0.477425812,0.463966786
1.138097458,0.878304841,0.922308030,1.224067034,0.785487010,0.882615535,0.926717547
1.232701144,1.013330405,1.243084282,1.134239913,0.450985211,0.942222739,1.122270979
1.076339812,1.062678628,1.199126366,1.033845974,-0.027108357,0.825752328,0.861426904
1.148767852,0.942202963,1.034514877,0.472149000,0.670148027,0.770207925,1.140509238
1.192651397,1.018061923,1.097031318,0.575350841,0.218250055,1.073572764,0.900124774
1.034713117,0.905229528,1.096970072,0.710054508,-0.292688225,1.311924033,0.691566927
0.957713894,1.076261098,1.266138070,0.735265612,0.163693746,1.041904169,0.710533127
0.841288186,0.611958511,0.557677216,0.234318667,0.538725534,0.983515291,0.721692351
0.801167771,0.843526513,1.038518154,0.524915996,0.434423130,0.708932952,0.442599524
0.540804661,0.607316882,0.613490261,0.335929632,0.656655579,0.568454177,0.406283377
0.464278966,0.319794675,0.545123954,0.226818319,0.601556497,0.570824316,0.218510212
0.390222079,0.145425430,-0.030888927,0.226903763,1.467861758,0.356334908,0.179039119
-0.058828089,-0.175145021,-0.436458753,0.085416717,1.009207131,0.011724988,-0.011234207
-0.214358921,-0.395861649,-0.505368165,-0.643036614,0.193616448,-0.228678861,-0.318550575
-0.260953451,-0.382277532,-0.357190164,-0.210713129,-0.445127927,-0.401940694,-0.640230416
-0.445328562,-0.767539474,-0.748022818,-0.603525591,0.127222019,-0.748076857,-0.525876930
-0.556995028,-0.737747776,-0.816515097,-0.663356457,0.391122511,-0.918153922,-0.599523967
-0.894506880,-0.779279323,-0.707321056,-0.646524872,0.199316700,-1.046255656,-0.774281856
-0.960188917,-1.169625622,-0.937818412,-1.198820549,0.195698715,-1.151840545,-0.652984149
-1.219637555,-1.165611746,-1.250164945,-0.657344503,-0.338191728,-0.778569489,-0.879236888
-1.518211795,-1.572920585,-1.651389737,-1.564865764,-0.556163625,-1.566048451,-1.226436428
-1.547886062,-1.854352310,-1.990916637,-1.777193453,-0.493985260,-1.554012213,-0.936925786
-1.831133117,-1.909606731,-2.000296250,-1.842787987,-0.873856441,-1.603799005,-1.268722320
-1.819080324,-1.788114063,-2.075860922,-1.435646544,-0.641619697,-2.061459368,-1.586213503
-1.433763668,-1.858973762,-1.998791524,-1.684205451,-0.482068877,-1.535705051,-1.228758555
-0.894462913,-1.350295855,-1.127894971,-1.619938465,-0.278863023,-1.528452223,-1.132589547
-0.624520693,-1.005898636,-0.840341684,-0.708838922,0.482300211,-0.893157801,-0.410302446
-0.047801862,-0.512039356,-0.652451537,-0.395961817,0.950843350,-0.599527245,-0.114253644
0.296304029,-0.063941821,-0.063522801,0.220069820,1.228102905,0.079060648,-0.056542887
0.804150328,0.374397010,0.263510438,0.536133823,1.410736176,0.381584486,0.990847788
0.948346672,0.677635916,0.833747615,0.823772421,1.930886811,0.362755101,0.935991985
1.056144948,0.540967487,0.425404852,0.806193875,1.780191344,0.716795396,1.312498475
1.183291299,0.748823426,0.645750982,0.848339651,2.078020418,0.828303008,1.020872074
1.113719221,0.876996311,0.486894639,0.775561049,2.007030291,0.899964522,1.333887654
0.935886218,0.820899680,0.879091259,0.821072021,0.259122521,0.732701094,0.947621640
0.807484526,0.934293993,0.745250101,1.237662071,-0.539290319,0.654172852,0.503184461
0.626896549,0.778085955,0.489665340,1.010087526,0.150883548,0.452080316,0.813872927
0.629625711,1.042091148,0.945657998,1.419918557,-0.150742564,0.585295132,0.787190057
0.537084079,0.558155190,0.428497219,0.854702371,0.190296174,0.384204988,0.429184418
0.429273301,0.435455108,0.144322169,0.631531567,0.126028433,0.435042496,0.264200860
0.176217944,0.080479277,0.032446877,0.373498713,-0.304661800,0.455931179,0.192147095
-0.043545441,-0.006457568,0.308431718,-0.189646601,-0.683269352,-0.170870628,-0.536656948
-0.091396354,0.115706032,0.208130057,-0.008666968,-0.066731746,-0.150721100,0.013115992
-0.141272705,-0.277763665,-0.051219951,-0.175057693,0.188590051,0.020277895,0.009710232
-0.431416721,-0.337209045,-0.528784431,-0.089707767,-0.224920706,-0.307049855,-0.520647768
-0.687168179,-0.665165786,-0.714041786,-0.627744895,-1.237403885,-1.089355336,-1.016635697
-1.103463209,-1.031903738,-0.858511289,-1.303972770,-1.678344703,-1.066405432,-1.295890675
-1.320609255,-1.046939152,-1.053293569,-1.100326613,-1.699066468,-1.225835526,-1.133892416
-1.560509975,-1.505160661,-1.614978154,-1.434819912,-1.779876934,-1.493846413,-1.857763384
-1.815865351,-1.598945550,-1.451649491,-1.749420942,-2.137718114,-1.540067968,-1.812464063
-1.685790831,-1.539123953,-1.504173305,-1.369328192,-2.448560648,-1.383052547,-1.641797696
-1.071955953,-1.190398425,-1.322942747,-0.971639573,-0.949155380,-1.080094841,-0.938970710
